2017-02-11 22:46:17,014 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:46:34,162 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-02-11 22:46:34,593 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
2017-02-11 22:46:35,052 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/main/java
2017-02-11 22:46:35,052 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/main/resources
2017-02-11 22:46:35,054 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/test/java
2017-02-11 22:46:35,054 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/test/resources
2017-02-11 22:46:35,241 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-02-11 22:46:35,776 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:46:35,784 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:46:35,788 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:46:35,798 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:46:47,224 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Selenium Practice\selenium.class.test1
2017-02-11 22:46:47,225 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-02-11 22:48:27,498 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:48:27,514 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:48:27,516 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:48:27,525 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:57:34,666 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
